run_id,date,train,start_alias,direction,user_speed,destination,anchor_sensor,route_distance_mm,last_confirmed_sensor,confirmed_distance_mm,speed_ack_to_first_sensor_ticks,first_segment_avg_tenths_mm_per_10ms,seed_fast_tenths_mm_per_10ms,braking_deadline_after_last_sensor_ticks,physical_stop_location,result,accepted_calibration,notes
2026-07-27-t14-a-d7-s80-11,2026-07-27,14,A,inward,80,D7,D7,2426,D7,2129,NA,NA,NA,NA,user_D7_minus_93mm,stage14_speed_fit,false,"Operator-reported single Stage13 physical run: the settled train was 93 mm before the labelled D7 endpoint. Stage13 correction was +17 mm, so Stage14 total correction is +110 mm. No capture filename or settle timing was supplied; repeat before accepting calibration."
2026-07-27-t14-a-d7-s100-12,2026-07-27,14,A,inward,100,D7,D7,2409,D7,2129,NA,NA,NA,NA,user_D7_plus_4mm,stage14_speed_fit,false,"Operator-reported single Stage13 physical run: the settled train was 4 mm beyond the labelled D7 endpoint. Stage13 correction was 0 mm, so Stage14 correction is -4 mm. No capture filename or settle timing was supplied; repeat before accepting calibration."
2026-07-27-t14-a-d7-s120-13,2026-07-27,14,A,inward,120,D7,D7,2409,D7,2129,NA,NA,NA,NA,user_D7_plus_240mm,stage14_speed_fit,false,"Operator-reported single Stage13 physical run: the settled train was 240 mm beyond the labelled D7 endpoint. Stage13 correction was 0 mm, so Stage14 correction is -240 mm and requests braking substantially earlier. The effective prediction point remains 40 mm downstream of physical sensor D7. No capture filename or settle timing was supplied; repeat before accepting calibration."
2026-07-27-t14-a-d7-s120-14,2026-07-27,14,A,inward,120,D7,E7,1989,E7,1753,NA,NA,NA,NA,user_D7_plus_180mm,stage15_high_speed_fit,false,"Operator-reported Stage14 retest: speeds 20/40/60/80/100 were acceptable, but speed 120 still settled 180 mm beyond the labelled D7 endpoint. Stage15 keeps all lower anchors and changes the speed-120 correction from -240 to -420 mm. The resulting control point is 140 mm before physical D7, equivalently 236 mm after E7, so E7 becomes the localization anchor while logical destination remains D7. No capture filename or settle timing was supplied; repeat before accepting calibration."
2026-07-27-t14-a-d7-s120-15,2026-07-27,14,A,inward,120,D7,E7,1989,E7,1753,NA,NA,NA,NA,user_D7_plus_40mm,stage16_high_speed_fit,false,"First operator-reported Stage15 physical repetition: the speed-120 train settled 40 mm beyond the labelled D7 endpoint. No capture filename or settle timing was supplied. Retain as repeated residual evidence, not accepted calibration."
2026-07-27-t14-a-d7-s120-16,2026-07-27,14,A,inward,120,D7,E7,1989,E7,1753,NA,NA,NA,NA,user_D7_plus_40mm,stage16_high_speed_fit,false,"Second operator-reported Stage15 physical repetition: the speed-120 train again settled 40 mm beyond the labelled D7 endpoint. Stage16 keeps speeds 20 through 100 unchanged and changes the speed-120 correction from -420 to -460 mm. The new control point is 180 mm before physical D7, equivalently 196 mm after E7, and requires a fresh physical test before acceptance."
2026-07-28-track-d-geometry-audit-01,2026-07-28,NA,NA,bidirectional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_applicable,graph_geometry_audit,false,"Instructor-endorsed Track D parts audit applied symmetric graph corrections: C13<->E7/E8<->C14=875 mm; D5<->E6/E5<->D6=376 mm; D9<->E12/E11<->D10=369 mm; E10<->E13/E14<->E9=376 mm. BR153<->EN1 remains 253 mm because no endorsed replacement exists. This is graph-geometry evidence, not a physical stopping calibration; historical raw rows remain unchanged."
2026-07-28-t14-a-d1-s80-17,2026-07-28,14,A,inward,80,D1,C8,NA,C8,NA,NA,NA,NA,NA,user_D1_minus_330mm,wrong_operator_interval_and_conservative_braking,false,"Capture 7.pcapng (SHA-256 e2e9f2bb882f82f8a8b62b9755c0a0f7171352e16fc4146167abbe5b9160a70b): attributed rising events were A1, C13, E7, D7, D9, E12, then C8 after speed zero. No A11/A12 event occurred. The train settled about 330 mm before the CAN-side 24064 D1 mark. This rejects the old D1=A12/A11 +600/+180 catalog and the final-leg braking-distance-plus-uncertainty deadline; D1 is represented inside the A12-to-A15 physical interval and point braking is kept separate from the larger reservation envelope."
2026-07-28-t14-a-d1-s80-18,2026-07-28,14,A,inward,80,D1,A12,5363,NA,NA,NA,NA,NA,NA,user_D1_minus_90mm,route_endpoint_residual_fit,false,"First physical A-to-D1 speed-80 run after separating the point-stop deadline from the conservative reservation envelope: the train settled 90 mm before the operator D1 mark. The UI scrolled because its 46-row cursor contract exceeded the lab terminal height, so the actual sensor list was not recorded. Keep the immutable A12-to-A15 physical D1 geometry and add a provisional +90 mm T14/A/D1 control residual; retest before acceptance."
2026-07-28-t14-a-d1-s80-19,2026-07-28,14,A,inward,80,D1,A12,5363,NA,NA,NA,NA,NA,NA,user_D1_minus_70mm,route_endpoint_residual_fit,false,"After applying the first +90 mm T14/A/D1 residual, the train still settled 70 mm before the D1 mark. Increase the cumulative route control residual to +160 mm without moving the immutable physical D1 geometry. The live UI used time-interpolated predicted cells and blocked commands while active; both behaviours are rejected by this run."
